module,date,title, reading,homework
1,9/2/2026,An introduction to 'quantitative social science',None,
1,9/9/2026,An introduction to 'quantitative social science',ROS Ch 1; TE Chs 0 & 1,
2,9/14/2026,Critical thinking: the role of prediction and defining research questions,ROS Apps A.1-A.3,
2,9/16/2026,Critical thinking: the role of prediction and defining research questions,TE Ch 2,
3,9/21/2026,"Back to the basics: data collection, description, and visualization ",ROS Ch 2,
3,9/23/2026,"Back to the basics: data collection, description, and visualization ",TE Chs 3 & 4,
4,9/28/2026,Nuts and bolts: a review of some math and probability,ROS Ch 3,
4,9/30/2026,Nuts and bolts: a review of some math and probability,ROS Apps A.4-A.5,
5,10/5/2026,Bread and butter: statistical inference and identification,ROS Ch 4,
5,10/7/2026,Bread and butter: statistical inference and identification,TE Ch 5,
6,10/14/2026,The city on the hill: simulation(s) and causal diagrams,ROS Ch 5 & Apps A.6-A.7,
6,10/19/2026,The city on the hill: simulation(s) and causal diagrams,TE Chs 6 & 7,
7,10/21/2026,Laying the foundation: background on regression and ‘doors’ in causal inference,ROS Ch 6,
7,10/26/2026,Laying the foundation: background on regression and ‘doors’ in causal inference,TE Chs 8 & 9,
8,10/28/2026,y = mx + b: regression with a single predictor and causal treatment effects,ROS Ch 7,
8,11/2/2026,y = mx + b: regression with a single predictor and causal treatment effects,TE Ch 10,
9,11/4/2026,y = b1x1 + b2x2 + b3x3…: linear regression with multiple predictors,ROS Ch 10,
9,11/9/2026,y = b1x1 + b2x2 + b3x3…: linear regression with multiple predictors,TE Chs 11 & 12,
10,11/11/2026,But what about causality?: experiments and selection on observables,ROS Ch 18,
10,11/16/2026,But what about causality?: experiments and selection on observables,"ROS Secs 20.1-20.3; TE Secs 13.1, 13.2.0-13.2.1, 13.4.1-13.4.3",
11,11/18/2026,Rubber meets the road: using regression for experiments and matching,ROS Ch 19,
11,11/23/2026,Rubber meets the road: using regression for experiments and matching,"ROS Secs 20.4, 20.5, & 20.7; TE Secs 14.1-14.3, 14.5, & 14.6",
12,11/30/2026,All by design: design-based causal inference,TE 18.1; Card & Krueger (1994),
12,12/2/2026,All by design: design-based causal inference,TE 20.1; Hoekstra (2009),
Final,12/2/2026,Practice exam distributed,,
Final,Exam Week (TBD),Final exam,,
